Date,GTJPYII5Y.Govt,GTJPYII10Y.Govt,JPCPIXFF.Index,JNCPIYOY.Index,GJGB40.Index,GJGB30.Index,GJGB10.Index,GJGB5.Index,GJGB2.Index,GJGB1.Index,GJGB3M.Index,TI0003M.Index,JPINGAA5.Index,JPINGAA1.Index,JPINGAA3.Index
2000-04-13,,,,,,2.163,1.81,1.2,0.48,0.295,0.065,0.13857,,,
2000-04-14,,,,,,2.133,1.799,1.175,0.46,0.29,0.063,0.13714,,,
2000-04-17,,,,,,2.034,1.712,1.1,0.41,0.245,0.058,0.13286,,,
2000-04-18,,,,,,2.045,1.72,1.11,0.415,0.245,0.055,0.13,,,
2000-04-19,,,,,,2.042,1.713,1.1,0.415,0.245,0.054,0.12857,,,
2000-04-20,,,,,,2.079,1.737,1.12,0.425,0.25,0.051,0.12786,,,
2000-04-21,,,,,,2.108,1.75,1.115,0.415,0.24,0.049,0.12714,,,
2000-04-24,,,,,,2.107,1.743,1.105,0.4,0.235,0.046,0.12714,,,
2000-04-25,,,,,,2.104,1.726,1.085,0.385,0.22,0.045,0.12643,,,
2000-04-26,,,,,,2.092,1.743,1.07,0.375,0.21,0.04,0.12429,,,
2000-04-27,,,,,,2.01,1.74,1.065,0.37,0.21,0.097,0.12857,,,
2000-04-28,,,,,,2.07,1.764,1.08,0.375,0.21,0.087,0.12714,,,
2000-04-30,,,-0.4,-0.8,,,,,,,,,,,
2000-05-01,,,,,,2.162,1.741,1.055,0.36,0.2,-0.004,0.12571,,,
2000-05-02,,,,,,2.178,1.735,1.05,0.355,0.2,0.042,0.12429,,,
2000-05-08,,,,,,2.181,1.739,1.04,0.345,0.195,0.041,0.12286,,,
2000-05-09,,,,,,2.151,1.716,0.995,0.315,0.175,0.038,0.12143,,,
2000-05-10,,,,,,2.158,1.728,1.02,0.325,0.17,0.036,0.11929,,,
2000-05-11,,,,,,2.122,1.686,0.995,0.315,0.17,-0.008,0.11714,,,
2000-05-12,,,,,,2.143,1.704,1.035,0.33,0.17,0.039,0.11714,,,
2000-05-15,,,,,,2.146,1.709,1.04,0.335,0.17,0.039,0.11714,,,
2000-05-16,,,,,,2.205,1.749,1.06,0.345,0.175,0.039,0.11714,,,
2000-05-17,,,,,,2.354,1.772,1.075,0.355,0.175,0.038,0.11714,,,
2000-05-18,,,,,,2.323,1.73,1.03,0.335,0.165,0.038,0.11571,,,
2000-05-19,,,,,,2.345,1.726,1.035,0.335,0.165,0.039,0.11286,,,
2000-05-22,,,,,,2.307,1.697,1,0.3,0.145,0.038,0.11286,,,
2000-05-23,,,,,,2.329,1.721,1.01,0.315,0.15,0.037,0.11143,,,
2000-05-24,,,,,,2.114,1.71,0.985,0.3,0.145,0.034,0.11071,,,
2000-05-25,,,,,,2.254,1.72,1,0.305,0.145,0.034,0.11,,,
2000-05-26,,,,,,2.218,1.685,0.98,0.305,0.135,0.034,0.11,,,
2000-05-29,,,,,,2.2,1.67,0.97,0.305,0.145,0.034,0.10857,,,
2000-05-30,,,,,,2.194,1.695,0.995,0.335,0.16,0.034,0.11,,,
2000-05-31,,,-0.2,-0.7,,2.165,1.665,1.03,0.4,0.21,0.033,0.10929,,,
2000-06-01,,,,,,2.164,1.67,1.05,0.41,0.23,0.038,0.10929,,,
2000-06-02,,,,,,2.18,1.69,1.08,0.44,0.26,0.039,0.10929,,,
2000-06-05,,,,,,2.253,1.755,1.15,0.48,0.28,0.039,0.10929,,,
2000-06-06,,,,,,2.286,1.745,1.15,0.48,0.28,0.039,0.11,,,
2000-06-07,,,,,,2.257,1.73,1.11,0.48,0.28,0.043,0.11071,,,
2000-06-08,,,,,,2.239,1.7,1.11,0.48,0.28,0.05,0.11286,,,
2000-06-09,,,,,,2.204,1.665,1.06,0.45,0.26,0.046,0.11429,,,
2000-06-12,,,,,,2.207,1.675,1.07,0.46,0.27,0.047,0.11429,,,
2000-06-13,,,,,,2.179,1.66,1.06,0.45,0.27,0.047,0.115,,,
2000-06-14,,,,,,2.19,1.675,1.07,0.46,0.27,0.05,0.11643,,,
2000-06-15,,,,,,2.17,1.665,1.04,0.43,0.26,0.047,0.11857,,,
2000-06-16,,,,,,2.144,1.63,1.01,0.41,0.24,0.042,0.11857,,,
2000-06-19,,,,,,2.153,1.63,1,0.4,0.23,0.043,0.11857,,,
2000-06-20,,,,,,2.18,1.65,1.02,0.42,0.26,0.051,0.12071,,,
2000-06-21,,,,,,2.228,1.68,1.06,0.46,0.28,0.07,0.12143,,,
2000-06-22,,,,,,2.229,1.727,1.07,0.47,0.29,0.07,0.13143,,,
2000-06-23,,,,,,2.194,1.699,1.07,0.47,0.3,0.095,0.13786,,,
2000-06-26,,,,,,2.201,1.719,1.12,0.51,0.33,0.108,0.14643,,,
2000-06-27,,,,,,2.222,1.74,1.12,0.51,0.33,0.106,0.15214,,,
2000-06-28,,,,,,2.212,1.734,1.09,0.49,0.32,0.105,0.15643,,,
2000-06-29,,,,,,2.214,1.755,1.11,0.52,0.34,0.148,0.20786,,,
2000-06-30,,,-0.3,-0.7,,2.222,1.761,1.11,0.52,0.34,0.145,0.23,,,
2000-07-03,,,,,,2.254,1.77,1.12,0.51,0.34,0.148,0.24071,,,
2000-07-04,,,,,,2.239,1.753,1.09,0.48,0.33,0.157,0.25,,,
2000-07-05,,,,,,2.264,1.77,1.12,0.48,0.33,0.162,0.25214,,,
2000-07-06,,,,,,2.25,1.742,1.09,0.47,0.33,0.179,0.25286,,,
2000-07-07,,,,,,2.29,1.761,1.11,0.47,0.33,0.176,0.25286,,,
2000-07-10,,,,,,2.34,1.77,1.12,0.47,0.33,0.162,0.25357,,,
2000-07-11,,,,,,2.338,1.776,1.14,0.5,0.35,0.173,0.25643,,,
2000-07-12,,,,,,2.343,1.785,1.15,0.52,0.37,0.214,0.27857,,,
2000-07-13,,,,,,2.287,1.712,1.06,0.45,0.32,0.179,0.28357,,,
2000-07-14,,,,,,2.297,1.712,1.07,0.46,0.33,0.174,0.27786,,,
2000-07-17,,,,,,2.289,1.703,1.07,0.46,0.33,0.146,0.27,,,
2000-07-18,,,,,,2.275,1.694,1.05,0.43,0.31,0.161,0.22286,,,
2000-07-19,,,,,,2.297,1.71,1.06,0.44,0.31,0.156,0.21929,,,
2000-07-21,,,,,,2.302,1.712,1.06,0.44,0.31,0.159,0.22071,,,
2000-07-24,,,,,,2.319,1.722,1.07,0.44,0.31,0.159,0.22214,,,
2000-07-25,,,,,,2.363,1.766,1.09,0.44,0.31,0.159,0.22214,,,
2000-07-26,,,,,,2.358,1.753,1.07,0.43,0.3,0.162,0.22357,,,
2000-07-27,,,,,,2.328,1.716,1.04,0.41,0.29,0.164,0.225,,,
2000-07-28,,,,,,2.309,1.689,1.03,0.4,0.28,0.15,0.22714,,,
2000-07-31,,,-0.3,-0.5,,2.303,1.683,1.02,0.4,0.27,0.14,0.22429,,,
2000-08-01,,,,,,2.293,1.687,1.025,0.41,0.285,0.137,0.21857,,,
2000-08-02,,,,,,2.274,1.683,1.02,0.41,0.28,0.137,0.21571,,,
2000-08-03,,,,,,2.264,1.686,1.02,0.41,0.275,0.141,0.21286,,,
2000-08-04,,,,,,2.259,1.683,1.01,0.405,0.275,0.136,0.21143,,,
2000-08-07,,,,,,2.274,1.693,1.005,0.405,0.275,0.126,0.20714,,,
2000-08-08,,,,,,2.284,1.699,1.025,0.425,0.3,0.121,0.205,,,
2000-08-09,,,,,,2.305,1.725,1.07,0.48,0.335,0.154,0.20714,,,
2000-08-10,,,,,,2.324,1.744,1.085,0.505,0.365,0.257,0.28714,,,
2000-08-11,,,,,,2.294,1.72,1.06,0.485,0.35,0.259,0.30643,,,
2000-08-14,,,,,,2.299,1.725,1.06,0.5,0.37,0.273,0.34429,,,
2000-08-15,,,,,,2.338,1.755,1.07,0.51,0.395,0.27,0.35571,,,
2000-08-16,,,,,,2.369,1.769,1.09,0.525,0.405,0.305,0.37,,,
2000-08-17,,,,,,2.372,1.76,1.075,0.505,0.395,0.332,0.37857,,,
2000-08-18,,,,,,2.409,1.78,1.09,0.495,0.39,0.316,0.38286,,,
2000-08-21,,,,,,2.433,1.794,1.105,0.505,0.395,0.315,0.38571,,,
2000-08-22,,,,,,2.454,1.81,1.14,0.525,0.405,0.316,0.38786,,,
2000-08-23,,,,,,2.493,1.848,1.185,0.555,0.43,0.325,0.38786,,,
2000-08-24,,,,,,2.475,1.832,1.165,0.555,0.44,0.325,0.38929,,,
2000-08-25,,,,,,2.52,1.873,1.21,0.585,0.445,0.331,0.39571,,,
2000-08-28,,,,,,2.534,1.883,1.23,0.595,0.455,0.33,0.40071,,,
2000-08-29,,,,,,2.562,1.898,1.23,0.605,0.465,0.335,0.405,,,
2000-08-30,,,,,,2.546,1.882,1.215,0.6,0.465,0.33,0.40857,,,
2000-08-31,,,-0.3,-0.8,,2.55,1.887,1.255,0.64,0.475,0.338,0.41,,,
2000-09-01,,,,,,2.636,1.957,1.31,0.665,0.495,0.334,0.41071,,,
2000-09-04,,,,,,2.618,1.935,1.285,0.65,0.485,0.332,0.41071,,,
2000-09-05,,,,,,2.649,1.962,1.31,0.655,0.49,0.333,0.41071,,,
2000-09-06,,,,,,2.669,1.976,1.325,0.665,0.495,0.337,0.41,,,
2000-09-07,,,,,,2.638,1.941,1.295,0.65,0.485,0.34,0.40857,,,
2000-09-08,,,,,,2.564,1.858,1.22,0.61,0.465,0.335,0.40429,,,
2000-09-11,,,,,,2.555,1.842,1.21,0.595,0.45,0.331,0.395,,,
2000-09-12,,,,,,2.574,1.847,1.195,0.58,0.44,0.331,0.38714,,,
2000-09-13,,,,,,2.609,1.866,1.21,0.585,0.44,0.336,0.385,,,
2000-09-14,,,,,,2.648,1.889,1.225,0.6,0.45,0.348,0.38286,,,
2000-09-18,,,,,,2.653,1.866,1.2,0.59,0.45,0.345,0.38143,,,
2000-09-19,,,,,,2.648,1.854,1.18,0.58,0.445,0.345,0.38143,,,
2000-09-20,,,,,,2.668,1.871,1.19,0.585,0.45,0.355,0.38143,,,
2000-09-21,,,,,,2.693,1.912,1.205,0.595,0.46,0.354,0.38357,,,
2000-09-22,,,,,,2.665,1.869,1.165,0.57,0.45,0.352,0.38571,,,
2000-09-25,,,,,,2.684,1.878,1.175,0.58,0.46,0.35,0.38929,,,
2000-09-26,,,,,,2.75,1.906,1.21,0.605,0.475,0.35,0.39071,,,
2000-09-27,,,,,,2.742,1.889,1.19,0.6,0.475,0.336,0.38929,,,
2000-09-28,,,,,,2.743,1.882,1.19,0.61,0.48,0.332,0.54143,,,
2000-09-29,,,,,,2.719,1.847,1.17,0.61,0.48,0.333,0.54,,,
2000-09-30,,,-0.5,-0.8,,,,,,,,,,,
2000-10-02,,,,,,2.718,1.842,1.16,0.6,0.47,0.329,0.53786,,,
2000-10-03,,,,,,2.717,1.837,1.145,0.585,0.455,0.326,0.53714,,,
2000-10-04,,,,,,2.719,1.825,1.145,0.585,0.455,0.313,0.53929,,,
2000-10-05,,,,,,2.712,1.808,1.13,0.575,0.45,0.506,0.54214,,,
2000-10-06,,,,,,2.756,1.814,1.135,0.575,0.45,0.483,0.54071,,,
2000-10-10,,,,,,2.814,1.834,1.135,0.57,0.445,0.465,0.53643,,,
2000-10-11,,,,,,2.823,1.82,1.125,0.56,0.435,0.465,0.53286,,,
2000-10-12,,,,,,2.867,1.849,1.135,0.555,0.435,0.452,0.53286,,,
2000-10-13,,,,,,2.939,1.843,1.11,0.53,0.42,0.455,0.53286,,,
2000-10-16,,,,,,3.035,1.86,1.105,0.52,0.415,0.447,0.53214,,,
2000-10-17,,,,,,2.971,1.835,1.105,0.52,0.415,0.446,0.53214,,,
2000-10-18,,,,,,2.901,1.799,1.09,0.52,0.415,0.43,0.53071,,,
2000-10-19,,,,,,2.935,1.82,1.08,0.51,0.41,0.395,0.52929,,,
2000-10-20,,,,,,2.969,1.839,1.085,0.515,0.415,0.39,0.53071,,,
2000-10-23,,,,,,3.004,1.854,1.105,0.525,0.42,0.385,0.53286,,,
2000-10-24,,,,,,3.037,1.86,1.12,0.53,0.425,0.383,0.53429,,,
2000-10-25,,,,,,3.014,1.84,1.115,0.525,0.425,0.383,0.53714,,,
2000-10-26,,,,,,3.015,1.84,1.105,0.515,0.42,0.384,0.53929,,,
2000-10-27,,,,,,3.019,1.844,1.1,0.51,0.415,0.381,0.54357,,,
2000-10-30,,,,,,2.998,1.819,1.075,0.5,0.41,0.388,0.545,,,
2000-10-31,,,-0.6,-0.9,,3,1.813,1.07,0.5,0.41,0.391,0.54714,,,
2000-11-01,,,,,,3.047,1.835,1.095,0.51,0.42,0.388,0.54857,,,
2000-11-02,,,,,,3.052,1.82,1.07,0.495,0.41,0.387,0.55071,,,
2000-11-06,,,,,,3.081,1.816,1.06,0.49,0.405,0.386,0.55214,,,
2000-11-07,,,,,,3.133,1.82,1.075,0.495,0.405,0.383,0.555,,,
2000-11-08,,,,,,3.099,1.817,1.095,0.51,0.41,0.384,0.57,,,
2000-11-09,,,,,,2.839,1.805,1.085,0.51,0.41,0.386,0.57714,,,
2000-11-10,,,,,,2.839,1.809,1.085,0.515,0.41,0.385,0.58286,,,
2000-11-13,,,,,,2.811,1.781,1.05,0.505,0.405,0.385,0.58857,,,
2000-11-14,,,,,,2.815,1.787,1.06,0.515,0.41,0.382,0.59143,,,
2000-11-15,,,,,,2.778,1.785,1.05,0.51,0.41,0.381,0.59214,,,
2000-11-16,,,,,,2.718,1.78,1.04,0.505,0.41,0.372,0.59143,,,
2000-11-17,,,,,,2.694,1.775,1.04,0.5,0.41,0.376,0.58929,,,
2000-11-20,,,,,,2.655,1.745,1.02,0.485,0.405,0.38,0.58857,,,
2000-11-21,,,,,,2.604,1.709,1.015,0.485,0.405,0.388,0.58857,,,
2000-11-22,,,,,,2.576,1.717,1.025,0.49,0.41,0.404,0.58929,,,
2000-11-24,,,,,,2.488,1.68,1.005,0.485,0.41,0.413,0.58929,,,
2000-11-27,,,,,,2.504,1.69,1.015,0.495,0.415,0.411,0.59,,,
2000-11-28,,,,,,2.523,1.71,1.015,0.5,0.42,0.405,0.59,,,
