Date,GTJPYII5Y.Govt,GTJPYII10Y.Govt,JPCPIXFF.Index,JNCPIYOY.Index,GJGB40.Index,GJGB30.Index,GJGB10.Index,GJGB5.Index,GJGB2.Index,GJGB1.Index,GJGB3M.Index,TI0003M.Index,JPINGAA5.Index,JPINGAA1.Index,JPINGAA3.Index
2008-06-05,,1.345,,,2.703,2.545,1.736,1.286,0.84,0.676,0.591,0.84333,,,
2008-06-06,,1.38,,,2.705,2.553,1.796,1.369,0.885,0.675,0.598,0.84333,,,
2008-06-09,,1.294,,,2.639,2.489,1.726,1.313,0.855,0.67,0.589,0.84333,,,
2008-06-10,,1.357,,,2.655,2.515,1.809,1.427,0.949,0.697,0.593,0.8425,,,
2008-06-11,,1.409,,,2.679,2.54,1.846,1.51,1,0.717,0.605,0.8425,,,
2008-06-12,,1.371,,,2.66,2.524,1.807,1.482,0.995,0.72,0.595,0.8425,,,
2008-06-13,,1.45,,,2.699,2.575,1.871,1.544,1.021,0.729,0.61,0.8425,,,
2008-06-16,,1.443,,,2.73,2.609,1.885,1.505,0.975,0.713,0.612,0.8425,,,
2008-06-17,,1.404,,,2.735,2.614,1.844,1.435,0.929,0.697,0.608,0.84333,,,
2008-06-18,,1.342,,,2.699,2.575,1.785,1.355,0.884,0.682,0.605,0.84333,,,
2008-06-19,,1.337,,,2.7,2.575,1.799,1.403,0.904,0.68,0.604,0.84417,,,
2008-06-20,,1.289,,,2.659,2.534,1.765,1.36,0.887,0.676,0.609,0.84417,,,
2008-06-23,,1.26,,,2.625,2.5,1.724,1.304,0.858,0.67,0.607,0.84417,,,
2008-06-24,,1.259,,,2.584,2.455,1.706,1.3,0.858,0.669,0.607,0.84417,,,
2008-06-25,,1.254,,,2.579,2.449,1.685,1.264,0.859,0.665,0.613,0.84417,,,
2008-06-26,,1.224,,,2.579,2.444,1.656,1.22,0.829,0.655,0.596,0.84417,,,
2008-06-27,,1.18,,,2.555,2.415,1.62,1.19,0.809,0.651,0.593,0.85333,,,
2008-06-30,,1.157,,2,2.55,2.404,1.601,1.18,0.805,0.65,0.593,0.855,,,
2008-07-01,,1.185,,,2.605,2.463,1.68,1.264,0.835,0.651,0.589,0.85583,,,
2008-07-02,,1.168,,,2.56,2.418,1.665,1.26,0.835,0.695,0.596,0.85583,,,
2008-07-03,,1.129,,,2.579,2.434,1.665,1.26,0.849,0.704,0.6,0.85583,,,
2008-07-04,,1.067,,,2.57,2.414,1.65,1.24,0.84,0.704,0.598,0.85583,,,
2008-07-07,,1.118,,,2.599,2.443,1.704,1.294,0.865,0.714,0.603,0.85583,,,
2008-07-08,,1.106,,,2.535,2.379,1.624,1.205,0.835,0.701,0.606,0.85583,,,
2008-07-09,,1.139,,,2.525,2.364,1.62,1.185,0.815,0.685,0.613,0.85583,,,
2008-07-10,,1.128,,,2.53,2.368,1.584,1.14,0.779,0.673,0.613,0.85583,,,
2008-07-11,,1.134,,,2.575,2.414,1.604,1.139,0.78,0.674,0.611,0.85583,,,
2008-07-14,,1.106,,,2.57,2.41,1.589,1.125,0.774,0.669,0.604,0.85583,,,
2008-07-15,,1.061,,,2.555,2.39,1.555,1.11,0.766,0.661,0.595,0.85583,,,
2008-07-16,,1.089,,,2.58,2.415,1.575,1.124,0.755,0.65,0.599,0.85583,,,
2008-07-17,,1.122,,,2.63,2.459,1.595,1.135,0.763,0.649,0.587,0.85583,,,
2008-07-18,,1.184,,,2.62,2.445,1.575,1.115,0.765,0.649,0.594,0.855,,,
2008-07-21,,1.184,,,,2.445,1.575,1.115,0.765,0.653,0.583,,,,
2008-07-22,,1.225,,,2.649,2.474,1.62,1.173,0.787,0.65,0.592,0.855,,,
2008-07-23,,1.303,,,2.67,2.495,1.65,1.195,0.799,0.648,0.605,0.855,,,
2008-07-24,,1.357,,,2.655,2.479,1.664,1.229,0.808,0.65,0.6,0.855,,,
2008-07-25,,1.293,,,2.615,2.439,1.584,1.15,0.786,0.644,0.602,0.855,,,
2008-07-28,,1.328,,,2.61,2.435,1.575,1.154,0.799,0.645,0.598,0.855,,,
2008-07-29,,1.307,,,2.59,2.415,1.55,1.124,0.785,0.645,0.598,0.855,,,
2008-07-30,,1.261,,,2.59,2.415,1.534,1.11,0.795,0.644,0.605,0.85333,,,
2008-07-31,,1.256,,2.3,2.599,2.425,1.539,1.114,0.79,0.644,0.595,0.85333,,,
2008-08-01,,1.254,,,2.595,2.414,1.52,1.085,0.771,0.642,0.593,0.85333,,,
2008-08-04,,1.253,,,2.56,2.38,1.504,1.055,0.751,0.642,0.598,0.85333,,,
2008-08-05,,1.306,,,2.56,2.38,1.54,1.094,0.76,0.644,0.594,0.85333,,,
2008-08-06,,1.293,,,2.529,2.344,1.529,1.063,0.744,0.635,0.599,0.85333,,,
2008-08-07,,1.289,,,2.53,2.345,1.525,1.065,0.73,0.621,0.59,0.85333,,,
2008-08-08,,1.259,,,2.5,2.314,1.479,1.02,0.705,0.611,0.583,0.85333,,,
2008-08-11,,1.335,,,2.465,2.28,1.467,1.03,0.709,0.61,0.588,0.8525,,,
2008-08-12,,1.334,,,2.445,2.26,1.461,1.016,0.71,0.61,0.592,0.85167,,,
2008-08-13,,1.323,,,2.445,2.26,1.455,1.01,0.705,0.605,0.6,0.85167,,,
2008-08-14,,1.267,,,2.425,2.24,1.441,1.004,0.7,0.6,0.598,0.85167,,,
2008-08-15,,1.283,,,2.465,2.28,1.465,1.029,0.696,0.595,0.597,0.85167,,,
2008-08-18,,1.288,,,2.476,2.29,1.451,1.014,0.681,0.586,0.593,0.85167,,,
2008-08-19,,1.293,,,2.479,2.294,1.441,1.013,0.68,0.585,0.593,0.85167,,,
2008-08-20,,1.311,,,2.504,2.318,1.45,1.03,0.693,0.583,0.6,0.85167,,,
2008-08-21,,1.289,,,2.485,2.299,1.42,1,0.686,0.583,0.594,0.85167,,,
2008-08-22,,1.299,,,2.534,2.349,1.45,1.025,0.694,0.583,0.591,0.85167,,,
2008-08-25,,1.3,,,2.535,2.35,1.435,1.005,0.695,0.583,0.583,0.85167,,,
2008-08-26,,1.328,,,2.535,2.35,1.424,0.985,0.699,0.584,0.583,0.85167,,,
2008-08-27,,1.369,,,2.545,2.36,1.45,1.014,0.718,0.587,0.59,0.85167,,,
2008-08-28,,1.346,,,2.515,2.33,1.435,1,0.715,0.588,0.585,0.85083,,,
2008-08-29,,1.362,,,2.479,2.294,1.415,0.981,0.726,0.588,0.588,0.85083,,,
2008-08-31,,,,2.1,,,,,,,,,,,
2008-09-01,,1.426,,,2.515,2.328,1.483,1.04,0.745,0.59,0.592,0.85083,,,
2008-09-02,,1.472,,,2.495,2.309,1.469,1.02,0.733,0.59,0.597,0.85083,,,
2008-09-03,,1.451,,,2.465,2.28,1.466,1.01,0.729,0.589,0.605,0.85083,,,
2008-09-04,,1.467,,,2.485,2.304,1.519,1.09,0.755,0.592,0.595,0.85083,,,
2008-09-05,,1.41,,,2.445,2.264,1.467,1.039,0.734,0.59,0.593,0.85083,,,
2008-09-08,,1.439,,,2.475,2.295,1.536,1.116,0.76,0.594,0.598,0.85083,,,
2008-09-09,,1.407,,,2.44,2.26,1.51,1.085,0.75,0.593,0.606,0.85083,,,
2008-09-10,,1.434,,,2.444,2.263,1.515,1.104,0.745,0.589,0.61,0.85083,,,
2008-09-11,,1.451,,,2.44,2.259,1.511,1.1,0.746,0.588,0.594,0.85083,,,
2008-09-12,,1.473,,,2.475,2.299,1.535,1.115,0.75,0.588,0.593,0.85083,,,
2008-09-15,,1.473,,,,2.299,1.535,1.115,0.75,0.588,,,,,
2008-09-16,,1.593,,,2.444,2.264,1.473,1.049,0.714,0.575,0.606,0.85333,,,
2008-09-17,,1.626,,,2.444,2.262,1.496,1.078,0.742,0.579,0.64,0.85667,,,
2008-09-18,,1.771,,,,2.291,1.5,1.124,0.764,0.593,0.629,0.85833,,,
2008-09-19,,1.698,,,2.47,2.288,1.488,1.127,0.798,0.605,0.625,0.85833,,,
2008-09-22,,1.716,,,2.465,2.284,1.493,1.09,0.792,0.606,0.609,0.85833,,,
2008-09-23,,1.716,,,,2.284,1.495,1.09,0.79,0.617,0.609,,,,
2008-09-24,,1.784,,,2.43,2.248,1.49,1.085,0.802,0.611,0.622,0.85917,,,
2008-09-25,,1.854,,,2.424,2.241,1.485,1.084,0.805,0.613,0.603,0.85917,,,
2008-09-26,,1.854,,,2.409,2.228,1.47,1.103,0.825,0.62,0.602,0.85917,,,
2008-09-29,,1.847,,,2.45,2.269,1.494,1.109,0.826,0.625,0.587,0.865,,,
2008-09-30,,1.864,,2.1,2.464,2.284,1.472,1.054,0.764,0.63,0.585,0.86583,,,
2008-10-01,,1.887,,,2.494,2.308,1.509,1.075,0.779,0.64,0.594,0.86583,,,
2008-10-02,,1.963,,,2.507,2.322,1.52,1.056,0.78,0.681,0.636,0.86583,,,
2008-10-03,,2.015,,,2.484,2.293,1.455,0.987,0.74,0.672,0.591,0.8675,,,
2008-10-06,,2.107,,,2.396,2.203,1.381,0.91,0.691,0.645,0.642,0.8675,,,
2008-10-07,,2.342,,,2.444,2.253,1.439,0.962,0.718,0.653,0.643,0.8675,,,
2008-10-08,,2.342,,,2.345,2.153,1.386,0.977,0.756,0.68,0.728,0.86917,,,
2008-10-09,,2.697,,,2.375,2.186,1.465,1.03,0.804,0.72,0.739,0.87083,,,
2008-10-10,,2.979,,,2.279,2.092,1.529,1.109,0.852,0.759,0.733,0.87833,,,
2008-10-13,,2.979,,,,2.092,1.53,1.11,0.852,0.697,0.733,,,,
2008-10-14,,3.286,,,2.439,2.254,1.586,1.179,0.85,0.766,0.684,0.88,,,
2008-10-15,,3.384,,,2.416,2.233,1.589,1.179,0.809,0.733,0.651,0.88,,,
2008-10-16,,3.5,,,2.45,2.272,1.593,1.15,0.8,0.713,0.648,0.88,,,
2008-10-17,,3.496,,,2.495,2.319,1.589,1.151,0.791,0.697,0.654,0.88,,,
2008-10-20,,3.359,,,2.521,2.348,1.581,1.142,0.781,0.683,0.639,0.8825,,,
2008-10-21,,2.979,,,2.525,2.351,1.592,1.149,0.771,0.67,0.636,0.8825,,,
2008-10-22,,2.75,,,2.515,2.35,1.548,1.103,0.744,0.664,0.647,0.8825,,,
2008-10-23,,2.844,,,2.47,2.284,1.51,1.059,0.722,0.665,0.661,0.8825,,,
2008-10-24,,3.054,,,2.451,2.253,1.497,1.034,0.717,0.665,0.657,0.88333,,,
2008-10-27,,3.241,,,2.485,2.294,1.485,0.995,0.701,0.661,0.656,0.88583,,,
2008-10-28,,3.404,,,2.485,2.295,1.53,1.039,0.71,0.665,0.654,0.8875,,,
2008-10-29,,3.406,,,2.485,2.289,1.504,0.93,0.62,0.581,0.544,0.88583,,,
2008-10-30,,3.416,,,2.469,2.27,1.496,0.895,0.592,0.562,0.506,0.88833,,,
2008-10-31,,3.447,,1.7,2.43,2.23,1.476,0.868,0.553,0.501,0.417,0.88917,,,
2008-11-03,,3.447,,,,2.23,1.475,0.87,0.553,0.492,0.388,,,,
2008-11-04,,3.482,,,2.473,2.273,1.514,0.881,0.549,0.477,0.41,0.79083,,,
2008-11-05,,3.464,,,2.49,2.29,1.537,0.932,0.555,0.472,0.43,0.7975,,,
2008-11-06,,3.393,,,2.49,2.28,1.5,0.899,0.554,0.471,0.454,0.79667,,,
2008-11-07,,3.268,,,2.46,2.26,1.52,0.929,0.572,0.477,0.452,0.7975,,,
2008-11-10,,3.217,,,2.434,2.249,1.535,0.963,0.596,0.483,0.456,0.79917,,,
2008-11-11,,3.099,,,2.41,2.225,1.495,0.924,0.595,0.486,0.46,0.8,,,
2008-11-12,,3.056,,,2.419,2.235,1.51,0.925,0.595,0.484,0.479,0.80167,,,
2008-11-13,,3.066,,,2.385,2.205,1.499,0.908,0.578,0.483,0.475,0.80417,,,
2008-11-14,,3.007,,,2.385,2.212,1.497,0.89,0.555,0.487,0.466,0.80833,,,
2008-11-17,,2.951,,,2.42,2.249,1.486,0.875,0.534,0.477,0.453,0.8125,,,
2008-11-18,,2.947,,,2.455,2.295,1.49,0.895,0.54,0.476,0.452,0.81667,,,
2008-11-19,,2.946,,,2.43,2.275,1.475,0.889,0.553,0.476,0.464,0.82333,,,
2008-11-20,,2.969,,,2.399,2.254,1.445,0.865,0.541,0.473,0.451,0.8325,,,
2008-11-21,,3.077,,,2.36,2.224,1.401,0.864,0.562,0.48,0.46,0.83917,,,
2008-11-24,,3.077,,,,2.224,1.4,0.865,0.565,0.48,0.447,,,,
2008-11-25,,3.197,,,2.352,2.22,1.413,0.883,0.589,0.498,0.453,0.8475,,,
2008-11-26,,3.259,,,2.309,2.184,1.391,0.875,0.604,0.514,0.491,0.8575,,,
2008-11-27,,3.302,,,2.274,2.159,1.38,0.885,0.606,0.535,0.5,0.86833,,,
2008-11-28,,3.511,,,2.295,2.189,1.399,0.875,0.601,0.538,0.513,0.87583,,,
2008-11-30,,,,1,,,,,,,,,,,
2008-12-01,,3.651,,,2.305,2.2,1.408,0.865,0.591,0.538,0.509,0.88333,,,
2008-12-02,,3.899,,,2.24,2.128,1.359,0.835,0.555,0.534,0.495,0.8925,,,
2008-12-03,,3.913,,,2.288,2.18,1.391,0.865,0.555,0.533,0.494,0.89417,,,
2008-12-04,,3.903,,,2.3,2.184,1.378,0.87,0.56,0.532,0.48,0.89667,,,
2008-12-05,,4.05,,,2.28,2.169,1.375,0.881,0.573,0.532,0.478,0.89917,,,
2008-12-08,,4.509,,,2.315,2.205,1.398,0.895,0.585,0.533,0.468,0.90333,,,
2008-12-09,,5.098,,,2.339,2.229,1.404,0.889,0.591,0.535,0.491,0.90583,,,
2008-12-10,,5.101,,,2.35,2.24,1.42,0.92,0.592,0.533,0.505,0.90833,,,
2008-12-11,,5.009,,,2.365,2.255,1.423,0.909,0.585,0.528,0.495,0.91167,,,
2008-12-12,,4.365,,,2.35,2.24,1.395,0.855,0.541,0.511,0.492,0.915,,,
2008-12-15,,4.233,,,2.343,2.234,1.384,0.865,0.542,0.509,0.483,0.91917,,,
2008-12-16,,4.239,,,2.335,2.22,1.375,0.84,0.518,0.489,0.48,0.92167,,,
2008-12-17,,4.108,,,2.279,2.16,1.301,0.795,0.471,0.442,0.391,0.92083,,,
2008-12-18,,3.864,,,2.22,2.104,1.272,0.791,0.461,0.431,0.373,0.9175,,,
2008-12-19,,3.627,,,2.154,2.039,1.236,0.765,0.434,0.382,0.263,0.905,,,
2008-12-22,,3.343,,,2.064,1.945,1.224,0.745,0.409,0.36,0.248,0.79583,,,
2008-12-23,,3.343,,,,1.944,1.224,0.745,0.409,0.357,0.248,,,,
2008-12-24,,3.397,,,2.01,1.885,1.215,0.73,0.403,0.351,0.242,0.76917,,,
2008-12-25,,3.442,,,1.999,1.873,1.22,0.744,0.414,0.349,0.241,0.76,,,
2008-12-26,,3.425,,,1.934,1.804,1.21,0.743,0.415,0.346,0.238,0.75167,,,
2008-12-29,,3.19,,,1.893,1.764,1.209,0.725,0.402,0.338,0.221,0.74417,,,
2008-12-30,,3.149,,,1.869,1.739,1.174,0.689,0.38,0.323,0.212,0.7425,,,
2008-12-31,,3.149,,0.4,,1.739,1.174,0.689,0.38,0.331,0.212,,,,
2009-01-01,,3.15,,,,1.739,1.174,0.689,0.385,0.33,0.208,,,,
2009-01-02,,3.149,,,,1.739,1.174,0.689,0.385,0.331,0.212,,,,
2009-01-05,,3.15,,,1.938,1.809,1.209,0.68,0.372,0.309,0.203,0.7425,,,
2009-01-06,,3.152,,,2.01,1.879,1.263,0.729,0.385,0.307,0.199,0.74083,,,
2009-01-07,,3.152,,,2.045,1.914,1.26,0.727,0.374,0.279,0.202,0.74083,,,
2009-01-08,,3.04,,,2.101,1.968,1.312,0.758,0.379,0.295,0.198,0.74083,,,
2009-01-09,,3.032,,,2.058,1.929,1.296,0.745,0.379,0.283,0.209,0.74,,,
2009-01-12,,3.032,,,,1.929,,0.745,0.379,0.285,0.201,,,,
2009-01-13,,3.034,,,2.01,1.879,1.25,0.709,0.374,0.277,0.209,0.74,,,
2009-01-14,,3.036,,,2.054,1.924,1.27,0.709,0.38,0.276,0.22,0.73917,,,
2009-01-15,,3.024,,,2.029,1.899,1.216,0.685,0.379,0.277,0.232,0.7375,,,
2009-01-16,,2.99,,,2.03,1.9,1.226,0.7,0.372,0.27,0.225,0.7375,,,
2009-01-19,,2.985,,,2.054,1.924,1.255,0.714,0.363,0.264,0.225,0.73667,,,
2009-01-20,,2.955,,,2,1.865,1.226,0.695,0.356,0.263,0.228,0.73417,,,
2009-01-21,,2.994,,,2.015,1.885,1.234,0.705,0.368,0.266,0.245,0.73333,,,
2009-01-22,,3.013,,,2.035,1.91,1.24,0.686,0.365,0.259,0.248,0.7325,,,
2009-01-23,,2.979,,,2.054,1.929,1.24,0.67,0.368,0.261,0.254,0.7325,,,
2009-01-26,,2.936,,,2.055,1.93,1.231,0.68,0.387,0.271,0.258,0.7325,,,
2009-01-27,,2.891,,,2.074,1.955,1.274,0.72,0.403,0.284,0.263,0.7325,,,
2009-01-28,,2.871,,,2.059,1.942,1.266,0.728,0.412,0.292,0.287,0.73167,,,
2009-01-29,,2.836,,,2.059,1.94,1.275,0.729,0.407,0.294,0.293,0.73083,,,
2009-01-30,,2.875,,,2.06,1.939,1.297,0.743,0.406,0.31,0.3,0.73083,,,
2009-01-31,,,,0,,,,,,,,,,,
2009-02-02,,2.915,,,2.04,1.92,1.299,0.74,0.4,0.314,0.299,0.73083,,,
2009-02-03,,3.058,,,2.025,1.905,1.305,0.759,0.408,0.315,0.302,0.73083,,,
2009-02-04,,3.217,,,2.084,1.959,1.355,0.793,0.435,0.318,0.312,0.73083,,,
2009-02-05,,3.198,,,2.064,1.943,1.341,0.789,0.435,0.319,0.308,0.73083,,,
2009-02-06,,3.232,,,2.089,1.975,1.341,0.779,0.421,0.318,0.277,0.73083,,,
2009-02-09,,3.263,,,2.09,1.975,1.316,0.755,0.405,0.318,0.263,0.73,,,
2009-02-10,,3.422,,,2.06,1.949,1.313,0.763,0.42,0.322,0.265,0.72833,,,
2009-02-11,,3.422,,,,1.949,1.313,0.763,0.42,0.324,0.265,,,,
2009-02-12,,3.462,,,2,1.894,1.264,0.725,0.405,0.319,0.253,0.7275,,,
2009-02-13,,3.616,,,2,1.894,1.265,0.72,0.395,0.319,0.252,0.72667,,,
2009-02-16,,3.586,,,2.02,1.915,1.299,0.746,0.4,0.319,0.253,0.72583,,,
2009-02-17,,3.581,,,1.99,1.919,1.288,0.729,0.392,0.318,0.255,0.72417,,,
2009-02-18,,3.406,,,1.959,1.899,1.261,0.715,0.378,0.313,0.259,0.72167,,,
2009-02-19,,3.335,,,1.969,1.91,1.268,0.709,0.385,0.313,0.254,0.72,,,
2009-02-20,,3.425,,,1.978,1.929,1.284,0.715,0.386,0.314,0.26,0.71583,,,
2009-02-23,,3.543,,,1.969,1.919,1.28,0.72,0.393,0.313,0.264,0.71583,,,
2009-02-24,,3.798,,,1.974,1.927,1.274,0.724,0.407,0.318,0.268,0.71583,,,
2009-02-25,,3.846,,,1.993,1.954,1.309,0.745,0.419,0.323,0.282,0.71583,,,
2009-02-26,,3.924,,,2.01,1.974,1.284,0.705,0.4,0.323,0.284,0.71417,,,
2009-02-27,,3.891,,,1.984,1.964,1.28,0.705,0.405,0.324,0.283,0.71417,,,
2009-02-28,,,,-0.1,,,,,,,,,,,
2009-03-02,,3.874,,,2.005,1.984,1.305,0.725,0.406,0.325,0.282,0.71333,,,
2009-03-03,,3.81,,,2.005,1.984,1.295,0.735,0.404,0.316,0.277,0.71333,,,
2009-03-04,,3.813,,,1.989,1.964,1.306,0.74,0.405,0.313,0.283,0.71083,,,
2009-03-05,,3.796,,,1.989,1.965,1.319,0.75,0.411,0.313,0.276,0.7075,,,
2009-03-06,,3.804,,,1.99,1.961,1.3,0.739,0.406,0.309,0.237,0.70333,,,
2009-03-09,,3.776,,,2.025,1.996,1.304,0.734,0.408,0.308,0.244,0.70083,,,
2009-03-10,,3.766,,,2.008,1.984,1.309,0.755,0.421,0.309,0.253,0.70083,,,
2009-03-11,,3.78,,,2.01,1.986,1.321,0.76,0.417,0.309,0.263,0.69917,,,
2009-03-12,,3.831,,,2.004,1.979,1.318,0.744,0.42,0.308,0.263,0.69667,,,
2009-03-13,,3.775,,,2.004,1.979,1.324,0.77,0.42,0.309,0.262,0.695,,,
2009-03-16,,3.768,,,2.004,1.979,1.305,0.76,0.415,0.308,0.264,0.69167,,,
2009-03-17,,3.71,,,2.034,2.009,1.31,0.78,0.415,0.307,0.276,0.68833,,,
2009-03-18,,3.623,,,2.06,2.035,1.309,0.765,0.414,0.307,0.275,0.68583,,,
2009-03-19,,3.489,,,2.045,2.02,1.268,0.721,0.402,0.298,0.274,0.68167,,,
2009-03-20,,3.489,,,,2.019,1.27,0.72,0.402,0.299,0.274,,,,
2009-03-23,,3.375,,,2.044,2.019,1.271,0.72,0.405,0.299,0.274,0.6775,,,
2009-03-24,,3.136,,,2.034,2.005,1.269,0.729,0.408,0.295,0.275,0.67417,,,
2009-03-25,,3.242,,,2.049,2.019,1.294,0.751,0.41,0.294,0.283,0.67167,,,
2009-03-26,,3.359,,,2.085,2.054,1.324,0.776,0.422,0.294,0.267,0.66833,,,
2009-03-27,,3.434,,,2.059,2.029,1.334,0.79,0.424,0.295,0.262,0.66417,,,
2009-03-30,,3.434,,,2.06,2.026,1.339,0.784,0.422,0.294,0.262,0.655,,,
2009-03-31,,3.362,,-0.3,2.071,2.04,1.353,0.79,0.42,0.295,0.251,0.65083,,,
2009-04-01,,3.2,,,2.07,2.039,1.35,0.777,0.412,0.293,0.251,0.64545,,,
2009-04-02,,3.217,,,2.084,2.055,1.378,0.8,0.41,0.293,0.244,0.64455,,,
2009-04-03,,3.196,,,2.125,2.099,1.425,0.825,0.406,0.294,0.233,0.64364,,,
2009-04-06,,3.16,,,2.189,2.164,1.465,0.86,0.423,0.294,0.231,0.64,,,
2009-04-07,,3.128,,,2.155,2.13,1.439,0.859,0.429,0.293,0.23,0.63636,,,
2009-04-08,,3.107,,,2.179,2.153,1.464,0.875,0.44,0.293,0.234,0.63364,,,
2009-04-09,,3.106,,,2.205,2.178,1.484,0.904,0.468,0.294,0.229,0.63091,,,
2009-04-10,,3.116,,,2.236,2.204,1.46,0.875,0.465,0.294,0.217,0.62818,,,
2009-04-13,,3.116,,,2.26,2.227,1.461,0.861,0.46,0.294,0.214,0.62727,,,
2009-04-14,,3.133,,,2.254,2.224,1.468,0.87,0.455,0.293,0.214,0.62545,,,
2009-04-15,,3.143,,,2.229,2.2,1.44,0.835,0.433,0.275,0.221,0.62364,,,
2009-04-16,,3.168,,,2.249,2.22,1.46,0.854,0.425,0.269,0.221,0.62273,,,
2009-04-17,,3.169,,,2.245,2.214,1.454,0.846,0.408,0.251,0.217,0.62091,,,
2009-04-20,,3.174,,,2.27,2.243,1.478,0.86,0.41,0.244,0.214,0.61909,,,
2009-04-21,,3.177,,,2.266,2.239,1.463,0.84,0.412,0.243,0.214,0.61545,,,
2009-04-22,,3.17,,,2.23,2.204,1.442,0.823,0.41,0.241,0.217,0.61273,,,
2009-04-23,,3.162,,,2.25,2.224,1.435,0.824,0.406,0.242,0.209,0.61091,,,
2009-04-24,,3.163,,,2.25,2.221,1.434,0.84,0.426,0.243,0.207,0.61091,,,
2009-04-27,,3.179,,,2.235,2.206,1.463,0.865,0.421,0.243,0.214,0.61091,,,
2009-04-28,,3.169,,,2.174,2.145,1.419,0.815,0.404,0.238,0.223,0.60909,,,
2009-04-29,,3.169,,,,2.145,1.419,0.815,0.404,0.244,0.223,,,,
2009-04-30,,3.166,,-0.1,2.166,2.134,1.432,0.823,0.392,0.243,0.211,0.60727,,,
2009-05-01,,3.16,,,2.141,2.109,1.406,0.804,0.385,0.244,0.212,0.60545,,,
2009-05-04,,3.16,,,,2.109,1.418,0.804,0.385,0.246,0.208,,,,
2009-05-05,,3.16,,,,2.109,1.418,0.804,0.385,0.246,0.208,,,,
2009-05-06,,3.16,,,,2.109,1.405,0.804,0.385,0.238,0.208,,,,
2009-05-07,,3.159,,,2.174,2.145,1.422,0.826,0.405,0.247,0.211,0.60364,,,
2009-05-08,,3.21,,,2.19,2.18,1.455,0.852,0.407,0.248,0.21,0.60091,,,
2009-05-11,,3.226,,,2.21,2.2,1.464,0.849,0.406,0.268,0.219,0.59818,,,
2009-05-12,,3.25,,,2.231,2.22,1.455,0.85,0.396,0.261,0.222,0.59727,,,
2009-05-13,,3.269,,,2.246,2.233,1.458,0.854,0.386,0.254,0.218,0.59636,,,
2009-05-14,,3.262,,,2.233,2.199,1.435,0.83,0.379,0.248,0.217,0.59545,,,
2009-05-15,,3.261,,,2.233,2.198,1.432,0.814,0.376,0.24,0.216,0.59545,,,
2009-05-18,,3.261,,,2.2,2.159,1.411,0.799,0.375,0.239,0.219,0.59364,,,
2009-05-19,,3.339,,,2.232,2.196,1.427,0.812,0.384,0.24,0.219,0.59091,,,
2009-05-20,,3.371,,,2.25,2.206,1.429,0.806,0.378,0.229,0.214,0.59,,,
2009-05-21,,3.437,,,2.264,2.224,1.435,0.805,0.367,0.219,0.203,0.58909,,,
2009-05-22,,3.456,,,2.263,2.225,1.438,0.801,0.357,0.202,0.206,0.58636,,,
2009-05-25,,3.561,,,2.265,2.229,1.455,0.815,0.364,0.2,0.204,0.58455,,,
2009-05-26,,3.67,,,2.239,2.21,1.448,0.814,0.365,0.199,0.204,0.58364,,,
2009-05-27,,3.713,,,2.244,2.215,1.478,0.836,0.365,0.194,0.203,0.58182,,,
2009-05-28,,3.63,,,2.25,2.23,1.488,0.822,0.348,0.184,0.193,0.58091,,,
2009-05-29,,3.595,,,2.279,2.255,1.49,0.82,0.359,0.184,0.191,0.57909,,,
2009-05-31,,,,-1.1,,,,,,,,,,,
2009-06-01,,3.58,,,2.3,2.275,1.491,0.819,0.361,0.184,0.189,0.57727,,,
2009-06-02,,3.565,,,2.335,2.31,1.524,0.836,0.369,0.186,0.193,0.57636,,,
2009-06-03,,3.552,,,2.34,2.315,1.554,0.826,0.368,0.183,0.196,0.57636,,,
2009-06-04,,3.563,,,2.316,2.29,1.514,0.796,0.359,0.183,0.196,0.57545,,,
2009-06-05,,3.609,,,2.3,2.27,1.503,0.801,0.351,0.183,0.186,0.57364,,,
2009-06-08,,3.608,,,2.31,2.28,1.521,0.845,0.381,0.193,0.188,0.57364,,,
2009-06-09,,3.527,,,2.32,2.285,1.534,0.854,0.389,0.198,0.189,0.57273,,,
2009-06-10,,3.461,,,2.33,2.295,1.547,0.856,0.384,0.197,0.192,0.57182,,,
2009-06-11,,3.399,,,2.355,2.316,1.563,0.855,0.382,0.197,0.188,0.57182,,,
2009-06-12,,3.462,,,2.346,2.295,1.521,0.87,0.381,0.197,0.186,0.57182,,,
2009-06-15,,3.434,,,2.365,2.315,1.513,0.859,0.381,0.198,0.189,0.57182,,,
2009-06-16,2.854,3.419,,,2.33,2.28,1.473,0.832,0.377,0.199,0.189,0.57091,,,
2009-06-17,2.858,,,,2.311,2.265,1.47,0.83,0.379,0.198,0.188,0.57091,,,
2009-06-18,2.847,,,,2.295,2.25,1.461,0.815,0.375,0.196,0.182,0.57,,,
2009-06-19,2.837,,,,2.29,2.245,1.452,0.793,0.362,0.196,0.18,0.56909,,,
2009-06-22,2.829,,,,2.331,2.285,1.464,0.784,0.36,0.198,0.178,0.56818,,,
2009-06-23,2.816,,,,2.295,2.251,1.416,0.76,0.352,0.198,0.179,0.56727,,,
2009-06-24,2.808,,,,2.266,2.216,1.389,0.735,0.337,0.202,0.177,0.56455,,,
2009-06-25,2.789,,,,2.29,2.235,1.391,0.731,0.318,0.194,0.167,0.56273,,,
2009-06-26,2.745,,,,2.3,2.235,1.404,0.73,0.32,0.188,0.17,0.56182,,,
