Date,USDSGD.Curncy,EURUSD.Curncy,USDJPY.Curncy,EURJPY.Curncy,EURGBP.Curncy,BCOM.Index,STI.Index,USGG10YR.Index,MASB2Y.Index,MASB5Y.Index,MASB10Y.Index,SDBS10.Curncy,SGD3M.Curncy,SDO3M.Curncy,CTTWBRSG.Index,CTTWBSGD.Index,USDSGDV3M.Curncy,USDSGDV6M.Curncy,USDSGDV1Y.Curncy,EURUSDV3M.Curncy,EURUSDV6M.Curncy,EURUSDV1Y.Curncy,USDJPYV3M.Curncy,USDJPYV6M.Curncy,USDJPYV1Y.Curncy,SDSOAA.Curncy,SDSOAC.Curncy,SIBF1M.Index,SIBF3M.Index,EUR003M.Index,USOSFRA.Curncy,USOSFRC.Curncy,US0001M.Index,US0003M.Index,SIBCSORA.Index,FEDL01.Index,SOFRRATE.Index,US00O.N.Index,EUBS1.Curncy,JYBS1.Curncy,XAUUSD.Curncy,GDBR10.Index,SDSOA5.Curncy,SDSW5.Curncy,SDSOA10.Curncy,SDSW10.Curncy,VIX.Index,VIX3M.Index,V2X.Index,MOVE.Index,DXY.Curncy,DBS.SP.Equity,OCBC.SP.Equity,UOB.SP.Equity,EUXOQQ1.BGN.Curncy,JYBSS12M.Curncy
1995-01-25,1.4535,1.2665,99.53,126.05,0.79574,95.6165,,7.796,,,,,-100,,,,,,,,,,,,,,,,,,,,6.0625,6.375,,5.46,,,,,381.1,7.549,,,,,11.46,,,105.27,87.63,6.254,3.001,7.871,,
1995-01-26,1.4528,1.27,99.43,126.28,0.79849,95.6828,,7.748,,,,,-92.5,,,,,,,,,,,,,,,,,,,,6,6.3125,,5.53,,,,,381.5,7.45,,,,,11.25,,,104.33,87.62,6.318,3.061,7.948,,
1995-01-27,1.4517,1.2697,99.4,126.21,0.79905,94.9332,,7.613,,,,,-95,,,,,,,,,,,,,,,,,,,,6,6.3125,,5.67,,,,,378.25,7.405,,,,,11.25,,,103.65,87.62,6.351,3.031,8.102,,
1995-01-30,1.4495,1.2715,98.42,125.14,0.79692,94.7211,,7.638,,,,,-77,,,,,,,,,,,,,,,,,,,,6.0625,6.3125,,5.76,,,,,377,7.443,,,,,12.26,,,104.06,87.1,6.351,3.061,8.18,,
1995-01-31,1.4545,1.2673,99.55,126.16,0.80234,94.7402,,7.581,,,,,-100.5,,,,,,,,,,,,,,,,,,,,6.09375,6.3125,,5.86,,,,,375.1,7.438,,,,,11.96,,,102.82,87.99,,,,,
1995-02-01,1.451,1.2622,99.19,125.2,0.79739,94.5142,,7.658,,,,,-78.5,,,,,,,,,,,,,,,,,,,,6.125,6.3125,,5.25,,,,,376.2,7.428,,,,,11.73,,,107.67,87.78,,,,,
1995-02-02,1.4515,1.2641,99.41,125.66,0.7993,95.0964,,7.658,,,,,-92,,,,,,,,,,,,,,,,,,,,6.125,6.3125,,5.98,,,,,376.25,7.467,,,,,11.13,,,104.98,87.69,6.447,3.091,8.411,,
1995-02-03,1.4586,1.2596,99.85,125.77,0.80562,95.0937,,7.497,,,,,-95,,,,,,,,,,,,,,,,,,,,6.125,6.3125,,5.94,,,,,376.3,7.413,,,,,10.98,,,100.94,88.19,6.512,3.151,8.334,,
1995-02-06,1.4585,1.2558,99.36,124.78,0.80479,94.8327,,7.533,,,,,-40.5,,,,,,,,,,,,,,,,,,,,6.10938,6.25,,5.99,,,,,375.9,7.414,,,,,11.22,,,102.57,88.19,6.512,3.181,8.257,,
1995-02-07,1.4595,1.253,99.46,124.62,0.80501,93.8379,,7.513,,,,,-37.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.94,,,,,374.8,7.363,,,,,11.17,,,100.86,88.43,6.383,3.181,8.18,,
1995-02-08,1.4525,1.2561,98.93,124.27,0.80856,93.2914,,7.509,,,,,-56.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.93,,,,,376,7.375,,,,,11.42,,,102.53,88.21,6.383,3.181,8.18,,
1995-02-09,1.4543,1.2575,98.91,124.38,0.80738,93.9605,,7.576,,,,,-94.5,,,,,,,,,,,,,,,,,,,,6.09375,6.25,,5.95,,,,,376.5,7.358,,,,,11.63,,,102.35,88.12,6.512,3.151,8.257,,
1995-02-10,1.452,1.2615,98.93,124.8,0.8071,94.4874,,7.61,,,,,-89.5,,,,,,,,,,,,,,,,,,,,6.09375,6.25,,5.94,,,,,376.3,7.407,,,,,11.28,,,105.05,87.79,6.415,3.121,8.18,,
1995-02-13,1.45,1.2649,98.73,124.88,0.80953,93.8789,,7.599,,,,,-75.5,,,,,,,,,,,,,,,,,,,,6.125,6.3125,,6,,,,,375.6,7.465,,,,,11.41,,,103.62,87.78,6.383,3.151,8.102,,
1995-02-14,1.4523,1.2692,98.48,124.99,0.81233,94.2448,,7.489,,,,,-95.5,,,,,,,,,,,,,,,,,,,,6.125,6.3125,,5.82,,,,,376.3,7.447,,,,,11.43,,,99.19,87.34,6.351,3.091,8.102,,
1995-02-15,1.4525,1.2726,98.34,125.15,0.81519,94.105,,7.417,,,,,-72.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.95,,,,,376.5,7.403,,,,,11.52,,,97.89,87.4,6.383,3.121,8.18,,
1995-02-16,1.4465,1.2849,97.5,125.28,0.814,94.3941,,7.403,,,,,-74.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.96,,,,,377.15,7.41,,,,,11.61,,,99.27,86.61,6.415,3.181,8.334,,
1995-02-17,1.4535,1.2854,97.4,125.2,0.81277,94.8024,,7.421,,,,,-103.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.93,,,,,379,7.404,,,,,11.71,,,100.94,86.43,6.415,3.121,8.411,,
1995-02-20,1.45,1.2975,97.29,126.23,0.82198,,,7.425,,,,,-100,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.93,,,,,379.7,7.405,,,,,,,,101,85.96,6.383,3.121,8.411,,
1995-02-21,1.4495,1.2898,97.08,125.21,0.81308,94.8685,,7.443,,,,,-90.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.99,,,,,378.7,7.44,,,,,12.05,,,101.06,86.11,6.351,3.151,8.411,,
1995-02-22,1.4505,1.2963,97.05,125.81,0.81656,94.9062,,7.33,,,,,-86.5,,,,,,,,,,,,,,,,,,,,6.11719,6.25,,5.9,,,,,379.55,7.444,,,,,11.39,,,97.33,85.94,6.351,3.121,8.334,,
1995-02-23,1.45,1.2942,96.72,125.18,0.81166,94.7039,,7.327,,,,,-85.5,,,,,,,,,,,,,,,,,,,,6.0625,6.1875,,5.91,,,,,379.15,7.359,,,,,11.15,,,97.77,85.79,6.383,3.121,8.334,,
1995-02-24,1.4495,1.2875,96.9,124.76,0.81051,94.8871,,7.307,,,,,-105.5,,,,,,,,,,,,,,,,,,,,6.08594,6.23438,,5.87,,,,,376.6,7.413,,,,,10.84,,,100.73,85.83,6.512,3.151,8.334,,
1995-02-27,1.4485,1.2948,97.08,125.7,0.81887,94.5591,,7.214,,,,,-76.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.99,,,,,376.5,7.315,,,,,12.51,,,99.59,86.2,6.512,3.151,8.257,,
1995-02-28,1.4465,1.2927,96.69,124.99,0.81615,94.1897,,7.201,,,,,-73.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,6.1,,,,,377.1,7.362,,,,,11.75,,,104.53,85.93,6.447,3.181,8.334,,
1995-03-01,1.446,1.2957,96.77,125.38,0.81613,94.0011,,7.223,,,,,-72.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.56,,,,,374.9,7.307,,,,,11.65,,,106.96,85.97,6.447,3.181,8.257,,
1995-03-02,1.45,1.296,95.28,123.48,0.80222,93.9644,,7.287,,,,,-135,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.94,,,,,376.9,7.358,,,,,12.02,,,110.07,85.05,6.415,3.151,8.334,,
1995-03-03,1.4452,1.3163,94.14,123.92,0.80739,94.4846,,7.342,,,,,-99.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.93,,,,,376.8,7.404,,,,,11.45,,,111.99,84.37,,,,,
1995-03-06,1.434,1.3357,92.87,124.05,0.82333,94.6559,,7.413,,,,,-108.5,,,,,,,,,,,,,,,,,,,,6.125,6.3125,,5.95,,,,,379.2,7.367,,,,,12.17,,,114.39,83.49,6.415,3.151,8.334,,
1995-03-07,1.415,1.341,90.45,121.29,0.81768,95.1299,,7.429,,,,,-125,,,,,,,,,,,,,,,,,,,,6.125,6.3125,,5.93,,,,,384.4,7.455,,,,,14.22,,,118.52,81.91,6.383,3.151,8.334,,
1995-03-08,1.427,1.3472,91.62,123.43,0.83703,94.5639,,7.337,,,,,-160,,,,,,,,,,,,,,,,,,,,6.125,6.3125,,5.91,,,,,379.9,7.429,,,,,13.72,,,121.59,83.25,6.286,3.091,8.334,,
1995-03-09,1.4125,1.3437,91.02,122.3,0.83537,94.4592,,7.273,,,,,-102,,,,,,,,,,,,,,,,,,,,6.125,6.3125,,5.92,,,,,382,7.425,,,,,13.36,,,120.95,83.02,6.383,3.151,8.334,,
1995-03-10,1.4212,1.321,90.9,120.08,0.83926,94.2915,,7.22,,,,,-134.5,,,,,,,,,,,,,,,,,,,,6.125,6.3125,,5.9,,,,,382.3,7.36,,,,,12.38,,,119.17,84.23,6.351,3.091,8.411,,
1995-03-13,1.417,1.3259,90.67,120.22,0.83285,94.8863,,7.178,,,,,-129.5,,,,,,,,,,,,,,,,,,,,6.125,6.3125,,5.96,,,,,385.75,7.383,,,,,12.15,,,115.18,83.79,6.351,3.121,8.334,,
1995-03-14,1.4162,1.3224,90.77,120.03,0.83405,94.4899,,7.105,,,,,-123.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.93,,,,,385.8,7.278,,,,,12.1,,,111.99,84.06,6.286,3.121,8.334,,
1995-03-15,1.41,1.3396,89.49,119.88,0.83725,94.819,,7.086,,,,,-124.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,6.06,,,,,386.3,7.284,,,,,12.42,,,111.57,83.11,6.286,3.091,8.334,,
1995-03-16,1.413,1.3408,90.31,121.09,0.84518,94.7301,,7.094,,,,,-140.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.97,,,,,384.1,7.159,,,,,11.95,,,108.77,83.48,6.318,3.121,8.257,,
1995-03-17,1.4125,1.3353,89.05,118.91,0.84299,94.8016,,7.107,,,,,-135.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,5.95,,,,,383.7,7.154,,,,,11.8,,,106.6,83.33,6.351,3.121,8.334,,
1995-03-20,1.4133,1.3284,89.35,118.69,0.84166,94.9499,,7.12,,,,,-136.5,,,,,,,,,,,,,,,,,,,,6.125,6.25,,6,,,,,383.1,7.151,,,,,11.34,,,105.59,83.75,6.318,3.121,8.334,,
