Date,SPX.Index,STI.Index,FBMKLCI.Index,JCI.Index,SET.Index,PCOMP.Index
2000-04-27,1464.92,2173.73,904.25,521.62,393.36,1620.53
2000-04-28,1452.43,2176.63,898.35,526.737,390.4,1598.73
2000-05-01,1468.25,,,524.609,,
2000-05-02,1446.29,2165.03,900.31,531.254,385.44,1606.04
2000-05-03,1415.1,2140.41,904.55,535.311,379.8,1592.68
2000-05-04,1409.57,2108.53,906.67,538.966,379.97,1553.34
2000-05-05,1432.63,2096.4,925.45,545.61,,1551.9
2000-05-08,1424.17,2052.31,929.46,550.329,366.17,1518.61
2000-05-09,1412.14,2063.93,927.7,547.672,357.77,1523.43
2000-05-10,1383.05,2024.96,932.47,548.24,343.53,1522.96
2000-05-11,1407.81,1972.97,920.71,529.201,336.54,1505.21
2000-05-12,1420.96,1992.84,912.66,526.877,345.67,1539.31
2000-05-15,1452.36,1989.42,910.74,516.43,339.37,1517.09
2000-05-16,1466.04,2032.26,917.85,497.819,350.22,1507.98
2000-05-17,1447.8,2006.56,922.3,514.851,,1534.05
2000-05-18,1437.21,,,,343.39,1521.36
2000-05-19,1406.95,2004.65,950.62,509.405,343.4,1478.68
2000-05-22,1400.72,1933.98,933.47,499.768,333.36,1412.09
2000-05-23,1373.86,1909.47,917.29,495.51,325.99,1404.67
2000-05-24,1399.05,1880.96,903.8,493.204,319.68,1418.79
2000-05-25,1381.52,1856.03,898.91,490.682,307.23,1426.62
2000-05-26,1378.02,1842.28,884.57,482.073,313.08,1427.26
2000-05-29,,1872.62,907.25,461.389,308.45,1482.77
2000-05-30,1422.45,1838.69,903.21,468.708,307.82,1470.07
2000-05-31,1420.6,1865.31,911.51,454.327,323.29,1478.76
2000-06-01,1448.81,1879.41,904.53,,327.6,1470.53
2000-06-02,1477.26,1959.82,891.25,444.448,339.28,1512.75
2000-06-05,1467.63,2015.99,881.39,453.945,352.6,1552.65
2000-06-06,1457.84,2039.05,871.79,452.762,345.43,1562.38
2000-06-07,1471.36,2068.37,855.24,459.461,340.83,1522.33
2000-06-08,1461.67,2092.15,842.24,478.209,344.58,1537.13
2000-06-09,1456.95,2071.31,861.3,477.928,341.35,1521.93
2000-06-12,1446,2076.56,858.9,476.033,340.7,
2000-06-13,1469.44,2046.5,865.45,468.362,334.99,1522.15
2000-06-14,1470.54,2062.09,862.12,475.933,345.43,1524.51
2000-06-15,1478.73,2072.9,,,345.29,1565.69
2000-06-16,1464.46,2050.38,836.19,484.021,344.49,1569.95
2000-06-19,1486,2030.88,813.29,490.688,340.66,1560.67
